suburb,days,hot_days,cooling_failures,mean_tmax,mean_tmin,mean_night_cooling_rate,median_night_cooling_rate,tree_canopy_percent,population_density_people_per_km2,built_up_area_percent,distance_to_coast_km,distance_to_water_km,cooling_failure_rate_all_days,cooling_failure_rate_hot_days
Bankstown,366,16,53,21.885608331967212,13.904611557103824,0.4586556771598794,0.4409887272727272,12.4235,6471.6,100.00000000000004,18.0,5.0,0.1448087431693989,3.3125
Blacktown,366,37,32,22.897121818306008,13.08169488306011,0.5548880705322349,0.5245290727272727,9.17505,3615.4,100.0,35.0,6.0,0.08743169398907104,0.8648648648648649
Bondi,366,4,220,19.96771331693989,16.518179200819674,0.2033735837901852,0.16839599999999988,19.5728,9692.7,91.3386480852138,0.5,0.5,0.6010928961748634,55.0
Campbelltown,366,34,31,22.57658394262295,12.259412497540984,0.6015689695168508,0.5886248939393939,10.7411,1577.7,73.1011673574266,40.0,10.0,0.08469945355191257,0.9117647058823529
Coogee,366,4,220,19.96771331693989,16.518179200819674,0.2033735837901852,0.16839599999999988,18.7764,7453.6,91.64513976305746,0.5,0.5,0.6010928961748634,55.0
Cronulla,366,4,220,19.96771331693989,16.518179200819674,0.2033735837901852,0.16839599999999988,18.6816,1026.8,25.68584921020246,0.5,0.5,0.6010928961748634,55.0
Fairfield,366,37,32,22.897121818306008,13.08169488306011,0.5548880705322349,0.5245290727272727,13.6634,4527.0,94.02296531952746,27.0,4.0,0.08743169398907104,0.8648648648648649
Liverpool,366,16,53,21.885608331967212,13.904611557103824,0.4586556771598794,0.4409887272727272,8.27098,5139.4,98.0613046006828,30.0,2.0,0.1448087431693989,3.3125
Manly,366,7,142,20.583097453551915,15.945457668852459,0.27593627371800555,0.24926895454545453,26.2541,3641.8,47.210396906253735,0.5,0.5,0.3879781420765027,20.285714285714285
Parramatta,366,37,32,22.897121818306008,13.08169488306011,0.5548880705322349,0.5245290727272727,17.0356,4087.8,98.68075553534712,20.0,1.0,0.08743169398907104,0.8648648648648649
Penrith,366,35,31,22.977534274590166,11.956424078005464,0.6408323562898993,0.6233062613636362,11.4378,1496.4,78.63103277505593,55.0,3.0,0.08469945355191257,0.8857142857142857
Ryde,366,37,32,22.897121818306008,13.08169488306011,0.5548880705322349,0.5245290727272727,23.3227,4521.5,100.00000000000004,13.0,2.0,0.08743169398907104,0.8648648648648649
